AutoNum,playerID,birthyear,yearID,salary,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GIDP,SF,SH,HBP,IBB
87,bradlmi01,1978,2006,3000000,1,OAK,AL,96,351,53,97,14,2,14,52,10,2,51,65,13,1,0,2,1
88,brazede01,1980,2006,500000,1,SDN,NL,9,4,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0
89,brazoyh01,1980,2006,345000,1,LAN,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,brocado01,1967,2006,1000000,1,SDN,NL,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,brousbe01,1976,2006,2487500,1,CLE,AL,88,268,44,86,14,0,13,46,0,1,17,58,5,2,0,1,1
92,brousbe01,1976,2006,2487500,2,SEA,AL,56,164,17,39,7,0,8,17,2,0,9,45,3,2,0,2,2
93,broweji01,1972,2006,700000,1,BAL,AL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,broweji01,1972,2006,700000,2,SDN,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,brownad01,1974,2006,425000,1,TEX,AL,25,36,6,7,1,0,0,2,1,0,2,9,2,1,1,0,0
96,brownem01,1974,2006,1775000,1,KCA,AL,147,527,77,151,41,2,15,81,6,3,59,95,15,10,0,5,3
97,brunter01,1978,2006,365000,1,HOU,NL,73,119,11,33,8,0,0,10,3,1,13,21,2,1,2,1,1
98,buchhta01,1981,2006,327000,1,HOU,NL,23,30,0,1,0,0,0,0,0,0,1,11,0,0,4,0,0
99,buckjo01,1980,2006,349500,1,KCA,AL,114,371,37,91,21,1,11,50,0,2,26,84,7,1,4,7,2
100,buehrma01,1979,2006,8000000,1,CHA,AL,32,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
101,burgoam01,1984,2006,339500,1,KCA,AL,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,burkech01,1980,2006,362500,1,HOU,NL,123,366,58,101,23,1,9,40,11,1,27,77,6,2,4,14,0
103,burneaj01,1977,2006,2200000,1,TOR,AL,21,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104,burnije01,1969,2006,6000000,1,PIT,NL,111,313,35,72,12,0,16,49,1,1,22,74,8,2,0,5,4
105,burnsmi01,1978,2006,332500,1,CIN,NL,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,burnsmi01,1978,2006,332500,2,BOS,AL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,burrepa01,1976,2006,9750000,1,PHI,NL,144,462,80,119,24,1,29,95,0,0,98,131,11,4,0,3,5
108,burrose01,1980,2006,1500000,1,TBA,AL,8,21,3,4,1,0,0,1,1,0,4,7,1,0,0,0,0
109,bushda01,1979,2006,352000,1,MIL,NL,34,62,6,11,3,0,0,9,0,0,0,25,1,0,9,1,0
110,bynumfr01,1980,2006,327500,1,CHN,NL,71,136,20,35,5,5,4,12,8,4,9,44,2,0,2,1,0
111,byrdati01,1973,2006,335000,1,BAL,AL,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,byrdma01,1977,2006,800000,1,WAS,NL,78,197,28,44,8,1,5,18,3,3,22,47,6,2,1,6,1
113,byrdpa01,1970,2006,7000000,1,CLE,AL,31,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
114,byrneer01,1976,2006,2250000,1,ARI,NL,143,562,82,150,37,3,26,79,25,3,34,88,12,3,2,5,2
115,cabreda01,1981,2006,385000,1,BAL,AL,26,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
116,cabrefe01,1981,2006,330800,1,CLE,AL,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,cabremi01,1983,2006,472000,1,FLO,NL,158,576,112,195,50,2,26,114,9,6,86,108,18,4,0,10,27
118,cabreor01,1974,2006,7500000,1,LAA,AL,153,607,95,171,45,1,9,72,27,3,51,58,12,11,3,3,0
119,cainma01,1984,2006,328000,1,SFN,NL,32,57,1,8,2,0,0,1,0,0,1,28,0,0,8,0,0
120,cairomi01,1974,2006,1000000,1,NYA,AL,81,222,28,53,12,3,0,30,13,1,13,31,4,3,5,1,0
121,calerki01,1975,2006,850000,1,OAK,AL,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,camermi01,1973,2006,7333333,1,SDN,NL,141,552,88,148,34,9,22,83,25,9,71,142,8,5,0,6,2
123,campsh01,1975,2006,335000,1,TBA,AL,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,canoro01,1982,2006,381000,1,NYA,AL,122,482,62,165,41,1,15,78,5,2,18,54,19,5,1,2,3
125,cantujo01,1982,2006,355800,1,TBA,AL,107,413,40,103,18,2,14,62,1,1,26,91,16,6,0,3,2
126,capeljo01,1981,2006,330000,1,MIL,NL,61,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
127,cappsma01,1983,2006,327000,1,PIT,NL,85,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
128,capuach01,1978,2006,450000,1,MIL,NL,35,68,3,8,1,0,0,3,0,0,2,35,0,0,5,0,0
129,carpech01,1975,2006,5000000,1,SLN,NL,32,71,2,9,0,0,0,2,0,0,0,27,0,0,9,0,0
130,carrahe01,1969,2006,2600000,1,LAA,AL,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,carroja01,1974,2006,700000,1,COL,NL,136,463,84,139,23,5,5,36,10,12,56,66,10,3,9,3,1
132,cartela02,1974,2006,550000,1,LAN,NL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
